001,005,007,008,035_##$a,040_##$a,040_##$c,040_##$d,043_##$a,245_0*$a,245_0*$b,245_0*$c,245_0*$h,245_0*$n,246_1#$a,246_1#$b,246_1#$i,246_13$a,246_13$n,246_3#$a,246_3#$n,246_30$a,260_##$a,260_##$b,260_##$c,300_##$a,300_##$b,300_##$c,440_#0$a,500_##$a,505_0#$a,505_1#$a,508_##$a,511_0#$a,511_2#$a,518_##$a,520_##$a,538_##$a,600_#7$0,600_#7$2,600_#7$a,600_#7$d,600_10$a,600_10$d,600_10$t,600_17$0,600_17$2,600_17$a,600_17$d,610_20$a,610_20$b,610_20$v,610_20$x,610_27$0,610_27$2,610_27$a,610_27$b,648_#7$2,648_#7$a,650_#0$a,650_#0$v,650_#0$x,650_#0$y,650_#0$z,650_#7$0,650_#7$2,650_#7$a,650_#7$x,650_00$a,650_00$b,650_00$c,650_00$d,651_#0$a,651_#0$v,651_#0$x,651_#0$y,651_#0$z,651_#7$0,651_#7$2,651_#7$a,651_#7$z,655_#7$0,655_#7$2,655_#7$a,700_0#$a,700_1#$a,700_1#$c,700_1#$d,700_1#$q,710_2#$a,710_2#$b,711_2#$a,711_2#$c,711_2#$d,740_* $a,905_##$a,948_1#$a,948_1#$b,948_1#$d,948_1#$e,948_1#$f,948_2#$a,948_2#$b,948_2#$d,948_2#$e,948_2#$f,948_2#$h,948_2#$x,948_3#$a,948_3#$h,948_3#$i,leader
2465400,20141205223159.0,vf|cbahou,941107s1991    xx ||| e          vleng d,(NIC)notisAMJ1260;(OCoLC)63989177;2465400;,NIC,NIC,,f------,Religion & Protest in African Conference,,"[Program in African Cultural Studies, Africana Studies and Research Center, Cornell University].",[videorecording] /,,,,,,,,,,,,1991.,9 videocassettes :,"sd., col. ;",1/2 in.,,"""332a-332h.""","[v. 1] Religion & resistance in Africa -- [v. 2] The religious activation of political discontent -- [v. 3] Prophecy, witchcraft, & political mobilization -- [v. 4] Mystic warriors -- [v. 5] Islam & popular movements in Africa -- [v. 6] Christian-Muslim conflicts in Africa -- [v. 7] State & religion in Africa -- [v. 8] Toward religious tolerance in Africa.",,,,,,"International conference on religion and protest in Africa hosted by the Program in African Cultural Studies, Africana Studies and Research Center, Cornell University on April 26-27, 1991.",VHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01093763,fast,Religion,,,,,,Africa;Africa;,,Religion;History.;Religion;Political aspects.;,,,(OCoLC)fst01239509,fast,Africa,,(OCoLC)fst01411628,fast,History,,,,,,Cornell University.,Program in African Cultural Studies.,International Conference on Religion and Protest in Africa,Cornell University),(1991 :,Religion and Protest in Africa Conference.,19941120120000.0,,,,,,20040602;20141205;,a;m;,pl233;batch;,lts;lts;,,,addfast,,,,01779cgm a2200349 a 4500
2465400,20141205223159.0,vf|cbahou,941107s1991    xx ||| e          vleng d,(NIC)notisAMJ1260;(OCoLC)63989177;2465400;,NIC,NIC,,f------,Religion & Protest in African Conference,,"[Program in African Cultural Studies, Africana Studies and Research Center, Cornell University].",[videorecording] /,,,,,,,,,,,,1991.,9 videocassettes :,"sd., col. ;",1/2 in.,,"""332a-332h.""","[v. 1] Religion & resistance in Africa -- [v. 2] The religious activation of political discontent -- [v. 3] Prophecy, witchcraft, & political mobilization -- [v. 4] Mystic warriors -- [v. 5] Islam & popular movements in Africa -- [v. 6] Christian-Muslim conflicts in Africa -- [v. 7] State & religion in Africa -- [v. 8] Toward religious tolerance in Africa.",,,,,,"International conference on religion and protest in Africa hosted by the Program in African Cultural Studies, Africana Studies and Research Center, Cornell University on April 26-27, 1991.",VHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01093763,fast,Religion,,,,,,Africa;Africa;,,Religion;History.;Religion;Political aspects.;,,,(OCoLC)fst01239509,fast,Africa,,(OCoLC)fst01411628,fast,History,,,,,,Cornell University.,Program in African Cultural Studies.,International Conference on Religion and Protest in Africa,Cornell University),(1991 :,Religion and Protest in Africa Conference.,19941120120000.0,,,,,,20040602;20141205;,a;m;,pl233;batch;,lts;lts;,,,addfast,,,,01779cgm a2200349 a 4500
2465400,20141205223159.0,vf|cbahou,941107s1991    xx ||| e          vleng d,(NIC)notisAMJ1260;(OCoLC)63989177;2465400;,NIC,NIC,,f------,Religion & Protest in African Conference,,"[Program in African Cultural Studies, Africana Studies and Research Center, Cornell University].",[videorecording] /,,,,,,,,,,,,1991.,9 videocassettes :,"sd., col. ;",1/2 in.,,"""332a-332h.""","[v. 1] Religion & resistance in Africa -- [v. 2] The religious activation of political discontent -- [v. 3] Prophecy, witchcraft, & political mobilization -- [v. 4] Mystic warriors -- [v. 5] Islam & popular movements in Africa -- [v. 6] Christian-Muslim conflicts in Africa -- [v. 7] State & religion in Africa -- [v. 8] Toward religious tolerance in Africa.",,,,,,"International conference on religion and protest in Africa hosted by the Program in African Cultural Studies, Africana Studies and Research Center, Cornell University on April 26-27, 1991.",VHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01093763,fast,Religion,,,,,,Africa;Africa;,,Religion;History.;Religion;Political aspects.;,,,(OCoLC)fst01239509,fast,Africa,,(OCoLC)fst01411628,fast,History,,,,,,Cornell University.,Program in African Cultural Studies.,International Conference on Religion and Protest in Africa,Cornell University),(1991 :,Religion and Protest in Africa Conference.,19941120120000.0,,,,,,20040602;20141205;,a;m;,pl233;batch;,lts;lts;,,,addfast,,,,01779cgm a2200349 a 4500
2465400,20141205223159.0,vf|cbahou,941107s1991    xx ||| e          vleng d,(NIC)notisAMJ1260;(OCoLC)63989177;2465400;,NIC,NIC,,f------,Religion & Protest in African Conference,,"[Program in African Cultural Studies, Africana Studies and Research Center, Cornell University].",[videorecording] /,,,,,,,,,,,,1991.,9 videocassettes :,"sd., col. ;",1/2 in.,,"""332a-332h.""","[v. 1] Religion & resistance in Africa -- [v. 2] The religious activation of political discontent -- [v. 3] Prophecy, witchcraft, & political mobilization -- [v. 4] Mystic warriors -- [v. 5] Islam & popular movements in Africa -- [v. 6] Christian-Muslim conflicts in Africa -- [v. 7] State & religion in Africa -- [v. 8] Toward religious tolerance in Africa.",,,,,,"International conference on religion and protest in Africa hosted by the Program in African Cultural Studies, Africana Studies and Research Center, Cornell University on April 26-27, 1991.",VHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01093763,fast,Religion,,,,,,Africa;Africa;,,Religion;History.;Religion;Political aspects.;,,,(OCoLC)fst01239509,fast,Africa,,(OCoLC)fst01411628,fast,History,,,,,,Cornell University.,Program in African Cultural Studies.,International Conference on Religion and Protest in Africa,Cornell University),(1991 :,Religion and Protest in Africa Conference.,19941120120000.0,,,,,,20040602;20141205;,a;m;,pl233;batch;,lts;lts;,,,addfast,,,,01779cgm a2200349 a 4500
2465400,20141205223159.0,vf|cbahou,941107s1991    xx ||| e          vleng d,(NIC)notisAMJ1260;(OCoLC)63989177;2465400;,NIC,NIC,,f------,Religion & Protest in African Conference,,"[Program in African Cultural Studies, Africana Studies and Research Center, Cornell University].",[videorecording] /,,,,,,,,,,,,1991.,9 videocassettes :,"sd., col. ;",1/2 in.,,"""332a-332h.""","[v. 1] Religion & resistance in Africa -- [v. 2] The religious activation of political discontent -- [v. 3] Prophecy, witchcraft, & political mobilization -- [v. 4] Mystic warriors -- [v. 5] Islam & popular movements in Africa -- [v. 6] Christian-Muslim conflicts in Africa -- [v. 7] State & religion in Africa -- [v. 8] Toward religious tolerance in Africa.",,,,,,"International conference on religion and protest in Africa hosted by the Program in African Cultural Studies, Africana Studies and Research Center, Cornell University on April 26-27, 1991.",VHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01093763,fast,Religion,,,,,,Africa;Africa;,,Religion;History.;Religion;Political aspects.;,,,(OCoLC)fst01239509,fast,Africa,,(OCoLC)fst01411628,fast,History,,,,,,Cornell University.,Program in African Cultural Studies.,International Conference on Religion and Protest in Africa,Cornell University),(1991 :,Religion and Protest in Africa Conference.,19941120120000.0,,,,,,20040602;20141205;,a;m;,pl233;batch;,lts;lts;,,,addfast,,,,01779cgm a2200349 a 4500
2465400,20141205223159.0,vf|cbahou,941107s1991    xx ||| e          vleng d,(NIC)notisAMJ1260;(OCoLC)63989177;2465400;,NIC,NIC,,f------,Religion & Protest in African Conference,,"[Program in African Cultural Studies, Africana Studies and Research Center, Cornell University].",[videorecording] /,,,,,,,,,,,,1991.,9 videocassettes :,"sd., col. ;",1/2 in.,,"""332a-332h.""","[v. 1] Religion & resistance in Africa -- [v. 2] The religious activation of political discontent -- [v. 3] Prophecy, witchcraft, & political mobilization -- [v. 4] Mystic warriors -- [v. 5] Islam & popular movements in Africa -- [v. 6] Christian-Muslim conflicts in Africa -- [v. 7] State & religion in Africa -- [v. 8] Toward religious tolerance in Africa.",,,,,,"International conference on religion and protest in Africa hosted by the Program in African Cultural Studies, Africana Studies and Research Center, Cornell University on April 26-27, 1991.",VHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01093763,fast,Religion,,,,,,Africa;Africa;,,Religion;History.;Religion;Political aspects.;,,,(OCoLC)fst01239509,fast,Africa,,(OCoLC)fst01411628,fast,History,,,,,,Cornell University.,Program in African Cultural Studies.,International Conference on Religion and Protest in Africa,Cornell University),(1991 :,Religion and Protest in Africa Conference.,19941120120000.0,,,,,,20040602;20141205;,a;m;,pl233;batch;,lts;lts;,,,addfast,,,,01779cgm a2200349 a 4500
2465400,20141205223159.0,vf|cbahou,941107s1991    xx ||| e          vleng d,(NIC)notisAMJ1260;(OCoLC)63989177;2465400;,NIC,NIC,,f------,Religion & Protest in African Conference,,"[Program in African Cultural Studies, Africana Studies and Research Center, Cornell University].",[videorecording] /,,,,,,,,,,,,1991.,9 videocassettes :,"sd., col. ;",1/2 in.,,"""332a-332h.""","[v. 1] Religion & resistance in Africa -- [v. 2] The religious activation of political discontent -- [v. 3] Prophecy, witchcraft, & political mobilization -- [v. 4] Mystic warriors -- [v. 5] Islam & popular movements in Africa -- [v. 6] Christian-Muslim conflicts in Africa -- [v. 7] State & religion in Africa -- [v. 8] Toward religious tolerance in Africa.",,,,,,"International conference on religion and protest in Africa hosted by the Program in African Cultural Studies, Africana Studies and Research Center, Cornell University on April 26-27, 1991.",VHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01093763,fast,Religion,,,,,,Africa;Africa;,,Religion;History.;Religion;Political aspects.;,,,(OCoLC)fst01239509,fast,Africa,,(OCoLC)fst01411628,fast,History,,,,,,Cornell University.,Program in African Cultural Studies.,International Conference on Religion and Protest in Africa,Cornell University),(1991 :,Religion and Protest in Africa Conference.,19941120120000.0,,,,,,20040602;20141205;,a;m;,pl233;batch;,lts;lts;,,,addfast,,,,01779cgm a2200349 a 4500
2465400,20141205223159.0,vf|cbahou,941107s1991    xx ||| e          vleng d,(NIC)notisAMJ1260;(OCoLC)63989177;2465400;,NIC,NIC,,f------,Religion & Protest in African Conference,,"[Program in African Cultural Studies, Africana Studies and Research Center, Cornell University].",[videorecording] /,,,,,,,,,,,,1991.,9 videocassettes :,"sd., col. ;",1/2 in.,,"""332a-332h.""","[v. 1] Religion & resistance in Africa -- [v. 2] The religious activation of political discontent -- [v. 3] Prophecy, witchcraft, & political mobilization -- [v. 4] Mystic warriors -- [v. 5] Islam & popular movements in Africa -- [v. 6] Christian-Muslim conflicts in Africa -- [v. 7] State & religion in Africa -- [v. 8] Toward religious tolerance in Africa.",,,,,,"International conference on religion and protest in Africa hosted by the Program in African Cultural Studies, Africana Studies and Research Center, Cornell University on April 26-27, 1991.",VHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01093763,fast,Religion,,,,,,Africa;Africa;,,Religion;History.;Religion;Political aspects.;,,,(OCoLC)fst01239509,fast,Africa,,(OCoLC)fst01411628,fast,History,,,,,,Cornell University.,Program in African Cultural Studies.,International Conference on Religion and Protest in Africa,Cornell University),(1991 :,Religion and Protest in Africa Conference.,19941120120000.0,,,,,,20040602;20141205;,a;m;,pl233;batch;,lts;lts;,,,addfast,,,,01779cgm a2200349 a 4500
2466234,20141205223511.0,vf|cbahou,941107s1987    xx ||| e          vleng d,(NIC)notisAMJ2141;2466234;(OCoLC)74915452;,NIC,NIC,,n-us---,State of Black America Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,1987.,4 videocassettes :,"sd., col. ;",1/2 in.,,"""161a-161d.""",,,,"Molefi Asanti, Lenora Fulani, Amiri Baraka.",,,"At the State of Black America Conference held at Cornell University in 1987, the speakers talk about the state of Afro-Americans. The central idea of Amiri Barakas' speech is to analyze and bring out the obvious and rather blatant ideologies America has towards Blacks, particularly in the education area.",VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;Racism;,,Congresses.;Congresses.;,,United States,(OCoLC)fst00799558;(OCoLC)fst01086616;,fast;fast;,African Americans;Racism;,,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,(OCoLC)fst01423772,fast,Conference proceedings,,"Asanti, Molefi.;Fulani, Lenora.;Baraka, Amiri,;",,1934-2014.,,Cornell University.,Africana Studies and Research Center.,State of Black America Conference,Cornell University),(1987 :,,19950510120000.0,,,,,,20030929;20040603;20040618;20141205;,b;a;a;m;,sok1;pd36;pl233;batch;,lts;lts;lts;lts;,?,?,addfast,,,,01727cgm a2200409 a 4500
2466234,20141205223511.0,vf|cbahou,941107s1987    xx ||| e          vleng d,(NIC)notisAMJ2141;2466234;(OCoLC)74915452;,NIC,NIC,,n-us---,State of Black America Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,1987.,4 videocassettes :,"sd., col. ;",1/2 in.,,"""161a-161d.""",,,,"Molefi Asanti, Lenora Fulani, Amiri Baraka.",,,"At the State of Black America Conference held at Cornell University in 1987, the speakers talk about the state of Afro-Americans. The central idea of Amiri Barakas' speech is to analyze and bring out the obvious and rather blatant ideologies America has towards Blacks, particularly in the education area.",VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;Racism;,,Congresses.;Congresses.;,,United States,(OCoLC)fst00799558;(OCoLC)fst01086616;,fast;fast;,African Americans;Racism;,,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,(OCoLC)fst01423772,fast,Conference proceedings,,"Asanti, Molefi.;Fulani, Lenora.;Baraka, Amiri,;",,1934-2014.,,Cornell University.,Africana Studies and Research Center.,State of Black America Conference,Cornell University),(1987 :,,19950510120000.0,,,,,,20030929;20040603;20040618;20141205;,b;a;a;m;,sok1;pd36;pl233;batch;,lts;lts;lts;lts;,?,?,addfast,,,,01727cgm a2200409 a 4500
