ID Number,Kaltura ID,Accession Number,Title,Description,Filename
AFR_video_118_1,1_ocg8ocb0,2465400,International Conference on Religion and Protest in Africa: Religion and Resistance in Africa: Political and Historical Perspectives,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_118_1.mp4
AFR_video_118_2,1_ecpqaf83,2465400,International Conference on Religion and Protest in Africa: Activation of Political Discontent: Africa's Triple Exp.,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_118_2.mp4
AFR_video_118_3,1_9y6bsh6u,2465400,"International Conference on Religion and Protest in Africa: Prophecy, Witchcraft, and Political Mobilization",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_118_3.mp4
AFR_video_118_4,1_e4n2a4d0,2465400,International Conference on Religion and Protest in Africa: Mystic Warriors: The State and the Politics of Prophecy,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_118_4.mp4
AFR_video_118_5,1_axuo6yfc,2465400,International Conference on Religion and Protest in Africa: Islam and Popular Movements in Africa,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_118_5.mp4
AFR_video_118_6,1_lxz26qa3,2465400,International Conference on Religion and Protest in Africa: Christian-Muslim Conflicts in Africa,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_118_6.mp4
AFR_video_118_7,1_qc1542h6,2465400,International Conference on Religion and Protest in Africa: Cases from Nigeria,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_118_7.mp4
AFR_video_118_8,1_jimf74z2,2465400,International Conference on Religion and Protest in Africa: Roundtable Toward Religious Tolerance in Africa,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_118_8.mp4
AFR_video_119_1,1_qjooaofn,2466234,State of Black America Conference: Molefi Asanti and Lenora Fulani, Molefi Asanti ; Lenora Fulani,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_119_1.mp4
AFR_video_119_3,1_uut472v2,2466234,State of Black America Conference,Amiri Baraka,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_119_3.mp4
AFR_video_121_1,1_ac18p1nx,2465687,"NCBS Tape 1 Introduction, Panel: ""Black Students in American Higher Education"" Al Colon, D. Davidson, Cooper Graves",Al Colon;D. Davidson;Cooper Graves,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_1.mp4
AFR_video_121_10,1_8efzlxxv,2465687,NCBS Tape [10] Panel C: Effective Schools for Black Children (Barbara Sizemore et al) Panel D: African Civilization (Dr. Yosef Ben-Jochannan et at),Barbara Sizemore;Dr. Yosef Ben-Jochannan,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_10.mp4
AFR_video_121_11,1_2y0pn8cb,2465687,"NCBS Tape [11] Roundtable: The Legacy of Malcom X: James Turner, W. Strickland, R. Daniels, A. Lynch and R. Bailey",James Turner;W. Strickland; R. Daniels;A. Lynch;R. Bailey,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_11.mp4
AFR_video_121_2,1_8nrxqv8b,2465687,"NCBS Tape 2 Panel: African American Literature, Drama and Culture: Graves, Sanchez, Hudson-Withers, Branch & Hord",Graves;Sanchez;Hudson-Withers;Branch;Hord,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_2.mp4
AFR_video_121_3,1_x5wxhj6c,2465687,"NCBS Tape 3 Panel continued: 1/4 poetry: Sonia Sachez, Lecture: John O. Killens ",Sonia Sanchez;John O. Killens,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_3.mp4
AFR_video_121_4,1_1egkfv49,2465687,NCBS Tape 4 Discussion continued; Panel B: Black Survival on White Campuses,John Davis et al.,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_4.mp4
AFR_video_121_5,1_j1s8jbsc,2465687,NCBS Tape 5 Spring 1985,Congressman Ron Dellums,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_5.mp4
AFR_video_121_6,1_h0kjdx5d,2465687,NCBS Tape 6 James Blackwell Lecture; Acklyn Lynch Address,James Blackwell;Acklyn Lynch,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_6.mp4
AFR_video_121_7,1_s7g7lw4z,2465687,"NCBS Tape 7 Derrick A. Bell Lecture and Panel B: ""Black Identity:"" J. Milliones, B. Jackson, W. Cross",Derrick A. Bell;J. Milliones;B. Jackson;W. Cross;,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_7.mp4
AFR_video_121_8,1_j2molzeh,2465687,"NCBS Tape 8 ""Black Identity"" Discussion continued (10 mins); Film: Scared Straight ©1978 (50 mins)",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_8.mp4
AFR_video_121_9,1_qy66wod7,2465687,NCBS Tape 9 B. Sizemore…Dedication for John Henrik Clarke,B. Sizemore;John Henrik Clarke,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_121_9.mp4
AFR_video_122_1,1_8kx1kjyv,2465179,ALA Conference: African Literature for Language Arts Tape 2,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_1.mp4
AFR_video_122_10,1_mvxti0qu,2465179,"ALA Conference: Banquet-Tape 6, 4/11/87",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_10.mp4
AFR_video_122_11,1_7ox4yums,2465179,"ALA Conference: Ideology & Africanism-Tape 7, 4/12/87",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_11.mp4
AFR_video_122_12,1_par08s4t,2465179,"ALA Conference: Soyinka's work & Africa's Development Tape 8, 4/12/87",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_12.mp4
AFR_video_122_2,1_63btxm99,2465179,"ALA Conference: Luncheon, Reception in Africa and U.S.A. by Ali Mazuri  Tape 2",Ali Mazuri,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_2.mp4
AFR_video_122_3,1_5ffyjf1u,2465179,ALA Conference: Ali Mazuri -- AIDS in Africa Tape 10,Ali Mazuri,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_3.mp4
AFR_video_122_4,1_wj67us65,2465179,ALA Conference: Various Sessions Tape 3,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_4.mp4
AFR_video_122_5_1,1_o3mj6vsj,2465179,"ALA Conference: Part 1 - Earl Lovelace, George Lamming Tape 4, 4/10/87  Part 1",Earl Lovelace;George Lamming,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_5_1.mp4
AFR_video_122_5_2,1_hljgwev4,2465179,"ALA Conference: Part 2 - Earl Lovelace, George Lamming Tape 4, 4/10/87",Earl Lovelace;George Lamming,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_5_2.mp4
AFR_video_122_6,1_7afqmy7y,2465179,"ALA Conference: Roundtable on Conference Theories Tape 12, 4/12/87",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_6.mp4
AFR_video_122_7,1_ziilqe8i,2465179,"ALA Conference: Roundtable--Passing Through-- Tape 9, 4/10/1987",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_7.mp4
AFR_video_122_8,1_3oysgke2,2465179,"ALA Conference:  Literature and Sovereignty Tape 11, 4/10/87",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_8.mp4
AFR_video_122_9,1_48zwmk8a,2465179,"ALA Conference: Poetry Reading-Tape 5, 4/11/87",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_122_9.mp4
AFR_video_123_1,1_4x9exbki,2466240,"""A Question of Power:"" Gender, Politics and Cultural Production In Africa.  ""A woman in trousers? What is dangling inside?""",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_123_1.mp4
AFR_video_123_2,1_l1riwo4l,2466240,"""A Question of Power:"" Gender, Politics and Cultural Production In Africa.  ""A woman is a fire you must take...""",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_123_2.mp4
AFR_video_123_3,1_4wo49te2,2466240,"""A Question of Power:"" Gender, Politics and Cultural Production In Africa--Panel C;  ""Women have no king""",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_123_3.mp4
AFR_video_123_4,1_d5ax8div,2466240,"""A Question of Power:"" Gender, Politics and Cultural Production In Africa ""The Joys of Motherhood and Father-, Son-, Daughterhood""",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_123_4.mp4
AFR_video_123_5,1_etrr9jqu,2466240,"""A Question of Power:"" Gender, Politics and Cultural Production In Africa ""(En)gendering National Cultural Policy""",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_123_5.mp4
AFR_video_123_6,1_rtxtvc4j,2466240,"""A Question of Power:"" Gender, Politics and Cultural Production In Africa ""I became a feminist when I was a child, starting to feel the discrimination…""",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_123_6.mp4
AFR_video_129,1_0ewh8ed5,2482650,Student Activism,Ben Chavis,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_129.mp4
AFR_video_158_1,1_0ok9lbgg,2657273,4th Annual State of Black America Conference--Rev. Ben Chavis part one (Color approx 60 min),Rev. Ben Chavis,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_158_1.mp4
AFR_video_158_2,1_ccxdssnr,2657273,4th Annual State of Black America Conference--A. Obedele/ Part 2 of Rev. Ben Chavis Lec.,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_158_2.mp4
AFR_video_159_1,1_vfsvnjpw,2656939,State of Black America Conference: Avon Drake-Blacks in the America economy,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_159_1.mp4
AFR_video_159_2,1_2vxxtz8h,2656939,State of Black America Conference," Avon Drake, William Tabb, Lewis King, Manning Marable",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_159_2.mp4
AFR_video_160_1,1_8si6l3s9,2657275,"The Sixth Annual State of Black America- Kwame Toure ""The Struggle of the oppressed"" (4/22/83) 2 hours",Kwame Toure (Stokely Carmichael),http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_160_1.mp4
AFR_video_160_2_1,1_92az5djc,2657275,The Sixth Annual State of Black America- Imari A. Obadele (1&1/2 hours) 4/23/84,Imari A. Obadele,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_160_2_1.mp4
AFR_video_160_2_2,1_mz55pjds,2657275,The Sixth Annual State of Black America- Minister Louis Farrakhan (Pt. II) 30 min. 4/23/84,Minister Louis Farrakhan,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_160_2_2.mp4
AFR_video_164_2,1_k61ky1bh,2482856,Voices from Robben Island,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_164_2.mp4
AFR_video_167_1,1_yjxtf5ll,2688618,"Michael Manley, former Prime Minister of Jamaica: ""The Reagan Administration's Caribbean Basin Initiative Policy"" Tape 1, 11/10/82",Michael Manley,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_167_1.mp4
AFR_video_167_2,1_o1k9x3xo,2688618,"Michael Manley, former Prime Minister of Jamaica: ""The Reagan Administration's Caribbean Basin Initiative Policy"" Tape 2, 11/10/82",Michael Manley,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_167_2.mp4
AFR_video_168_1,1_2sfge56k,2688608,"State of Black America Conference '86: Gil Noble, Producer-""Like it Is"" on ""Black Students and Struggle""",Gil Noble,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_168_1.mp4
AFR_video_168_2,1_cbt0gn1v,2688608,State of Black America Conference '86: Rev. Calvin Butts of Abyssinian Baptist Church ,Rev. Calvin Butts,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_168_2.mp4
AFR_video_171,1_jbjla1gx,2688612,The beginning of Africana Studies--panel discussion,"Michael thelwell, Haki Madhubuti, Leonard Jeffries",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_171.mp4
AFR_video_172_1,1_edi189nl,2664922,"Afro-American and White Women Conference: Violence- Rebecca Rice and Barbara Smith, 2/20/88", Rebecca Rice; Barbara Smith,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_172_1.mp4
AFR_video_172_2,1_neeimxau,2664922,"Afro-American and White Women Conference: Work- Minnie Bruce Pratt; Cathy Valentino, 2/20/88",Minnie Bruce Pratt; Cathy Valentino,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_172_2.mp4
AFR_video_172_3,1_14o84twk,2664922,"Afro-American and White Women Conference: Naming Our Histories II-Peggy Haine; Faith Nolan, 2/20/88",Peggy Haine; Faith Nolan,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_172_3.mp4
