100,245,511,505,700,518,IsBarnes,Location,formatted_date,formatted_title,Original Folder Name,New Folder Name
,"00$aMalcolm Bilson, fortepiano.","0\$aMalcolm Bilson, fortepiano.","00$t11 variations on ""Ein M{uml}adchen oder Weibchen,"" from Mozart's The magic flute : (1805) /$rJohann Baptist Cramer --$tSonata in C major, Hob. XVI/50.$tAllegro ;$tAdagio ;$tAllegro molto /$rJoseph Haydn --$tFantasy and fugue in F minor : (1799) /$rJan Ladislav Dussek --$tSonata in F major, K. 332.$tAllegro ;$tAdagio ;$tAllegro vivace /$rWolfgang Amadeus Mozart --$tSonata in F-sharp minor (unfinished), D. 571.$tAllegro moderato (completion by Malcolm Bilson) /$rFranz Schubert --$tSonata in E-flat major, op. 31, no. 3.$tAllegro ;$tScherzo: allegretto vivace ;$tMenuetto: moderato e grazioso ;$tPresto con fuoco /$rLudwig van Beethoven.","1\$aBilson, Malcolm,$eperformer.","\\$oRecorded$d2009 September 15,$pBarnes Hall, Cornell University.",TRUE,Barnes,9/15/09 0:00,"Malcolm Bilson, fortepiano.",,
"1\$aLiszt, Franz,$d1811-1886.","10$aBlaise Bryski, piano :$bAn evening of Franz Liszt.","0\$aBlaise Bryski, piano.","00$tTwo concert etudes (1862-63).$tWaldesrauschen ;$tGnomenreigen --$tFrom Grandes etudes de Paganini : (1851) :$tTheme and variations, after Paganini's 24th caprice for solo violin --$tFive piano pieces.$tSehr langsam : (1863) ;$t(1866) ;$tSehr langsam :$t(1873) ;$tAndantino :$t(1876) ;$tSospiri! : (1879) --$tSonata in B minor (1852-53).","1\$aBryski, Blaise,$eperformer.","\\$oRecorded$d2009 September 18,$pBarnes Hall, Cornell University.",TRUE,Barnes,9/18/09 0:00,"Blaise Bryski, piano: An evening of Franz Liszt.",2009918_Bryski,
,"00$aMichael Clarkson, tenor, Graeme Bailey, piano.","0\$aMichael Clarkson, tenor ; Graeme Bailey, piano.","00$tFrom Songs of travel :$tThe vagabond ;$tLet beauty awake ;$tThe infinite shining heavens ;$tWhither must I wander? ;$tBright is the ring of words /$rRalph Vaughan Williams ---$tFrom Die Winterreise, D. 911 :$tGute Nacht ;$tDer Lindenbaum ;$tIrrlicht ;$tFr{uml}uhlingstraum ;$tDer Wegweiser /$rFranz Schubert --$tFrom The road goes ever on :$tThe road goes ever on ;$tUpon the hearth the fire is red ;$tIn western lands ;$tNam{acute}ari{uml}e ;$tI sit beside the fire ;$tBilbo's last song (at the grey havens) /$rDonald Swann --$tFrom Folk song arrangements :$tThe Salley gardens ;$tCome you not from Newcastle? ;$tO waly, waly ;$tThe ash grove /$rarr. Benjamin Britten.","1\$aClarkson, Michael,$eperformer.;1\$aBailey, Graeme,$eperformer.","\\$oRecorded$d2009 September 29,$pBarnes Hall, Cornell University.",TRUE,Barnes,9/29/09 0:00,"Michael Clarkson, tenor, Graeme Bailey, piano.",,
,"00$aEnsemble X, Steven Stucky, artistic director, Rachel Calloway, mezzo-soprano, Caroline Stinson, cello, Donald Crockett, guest conductor, Francesco Antonioni, guest conductor.","0\$aEnsemble X ; Steven Stucky, artistic director ; Rachel Calloway, mezzo-soprano ; Caroline Stinson, cello ; Donald Crockett, guest conductor ; Francesco Antonioni, guest conductor.","00$tVerge : (1997).$talmost too fast ;$talmost too slow ;$talmost too mechanical ;$talmost too dark ;$talmost too light ;$talmost too fractured ;$talmost too much ;$talmost too little ;$talmost too calm /$rSebastian Currier --$tFigment : (1994) /$rElliott Carter (Ms. Stinson) --$tThe cinnamon peeler : (1993) /$rDonald Crockett (Ms. Calloway, Mr. Crockett) --$tLe nom: upperline : (2005) /$rAndrew Waggoner (Ms. Stinson) --$tBallata (2008) /$rFrancesco Antonioni (Mr. Antonioni).","1\$aStucky, Steven,$eperformer.;1\$aCalloway, Rachel,$eperformer.;1\$aStinson, Caroline.$eperformer.;1\$aCrockett, Donald,$d1951-$eperformer.;1\$aAntonioni, Francesco,$d1971-$eperformer.","\\$oRecorded$d2009 September 26,$pBailey Hall, Cornell University.",FALSE,Bailey,10/3/09 0:00,"Ensemble X, Steven Stucky, artistic director, Rachel Calloway, mezzo-soprano, Caroline Stinson, cello, Donald Crockett, guest conductor, Francesco Antonioni, guest conductor.",2009926_Ensemble_X,
,"00$aCornell Chamber Orchestra, Cornell Symphony Orchestra.","0\$aCornell Chamber Orchestra ; Cornell Symphony Orchestra ; Blaise Bryski and Miri Yampolsky, piano ; Graeme Bailey, narrator ; Chris Younghoon Kim, conductor.","00$tThe carnival of animals.$tIntroduction and royal march of the lion ;$tHens and roosters ;$tWild asses;$tquick animals ;$tTortoises ;$tThe elephant ;$tthe (ir)rational animal by Peter Fahey ;$tKangaroos ;$tJungle monkey by Max Shuhan ;$tAquarium ;$tCharacters with long ears ;$tThe cuckoo in the depths of the woods ;$tAviary ;$tGila monster by Zachary Wadsworth ;$tPianists ;$tFossils ;$tUgly duckling by Takuma Itoh ;$tThe swan ;$tFinale /$rBlaise Bryski and Miri Yampolsky, piano ; Graeme Bailey, narrator (poems by Ogden Nash and composers) ; Chris Younghoon Kim, conductor --$tBeneath this stone /$rKristin Kuster --$tYoung person's guide to the orchestra, op. 43. Variations on a fugue on a theme of Purcell /$rBenjamin Britten ; Graeme Bailey, narrator (words by Eric Crozier) ; Chris Younghoon Kim, conductor.","1\$aBryski, Blaise,$eperformer.;1\$aYampolsky, Miri,$eperformer.;1\$aBailey, Graeme,$eperformer.;1\$aKim, Chris Younghoon,$eperfomer.","\\$oRecorded$d2009 October 3,$pBailey Hall, Cornell University.",FALSE,Bailey,10/3/09 0:00,"Cornell Chamber Orchestra, Cornell Symphony Orchestra.",,
,"00$aGuest artist, Shiau-uen Ding, piano and electronics.","0\$aShiau-uen Ding, piano and electronics.","00$tS{acute}erie blanche, for piano and electronics /$rPierre Jodlowski --$tS{acute}erie noire, for piano and electronics /$rJodlowski --$tUntitled 1994/96 /$rChristopher Bailey --$tOne man band 2 /$rMoritz Eggert --$tReflections, for pianos and tape /$rMilton Babbitt --$tBalladei, for piano and recorded electronics /$rBailey.","1\$aDing, Shiau-uen,$eperformer.","\\$oRecorded$d2009 October 7,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/7/09 0:00,"Guest artist, Shiau-uen Ding, piano and electronics.",20091007_Stark_Ding,
"1\$aGodfrey, Daniel.","10$aGuest ensemble, Cassatt String Quartet:$bcelebrating Daniel S. Godfrey's sixtieth birthday season.","0\$aCassatt String Quartet (Muneko Otani and Jennifer Leshnower, violins ; Sarah Adams, viola ; Nicole Johnson, cello ; Adrienne Kim, piano).",00$tRomanza for string quartet and piano : (2001) --$tRicordanza-speranza for string quartet and piano : (2006).$tAdagio poco rubato ;$tCon furore ;$tAdagio poco rubato--con anima --$tString quartet no. 2 (1993).$tModerato ;$tAdagietto ;$tPresto.,"1\$aOtani, Muneko,$eperformer.;1\$aLeshnower, Jennifer,$eperformer.;1\$aAdams, Sarah Jane,$d1961-$eperformer.;1\$aJohnson, Nicole$c(Cellist),$eperformer.;1\$aKim, Adrienne,$eperformer.","\\$oRecorded$d2009 October 15,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/15/09 0:00,"Guest ensemble, Cassatt String Quartet:$bcelebrating Daniel S. Godfrey's sixtieth birthday season.",20091015_Cassatt_String_Quartet,
,00$aCornell University Wind Ensemble,"0\$aCornell University Wind Ensemble ; Cornell Univesrity Wind Symphony ; Cynthia Johnston Turner, conductor ; Tim Feeney, percussion.",00$tCanzon primi toni /$rGiovanni Gabrieli --$tCathedrals /$rKathryn Salfelder --$tSerenade /$rDerek Bourgeois --$tColorado Springs /$rDana Wilson --$tHounds of spring /$rAlfred Reed --$tConcerto for percussion and wind orchestra /$rSteven Stucky --$tFirst suite in E-flat /$rGustav Holst --$tSymphonies of happy birthdays /$rZachary Wadsworth --$tHue and cry /$rStucky --$tHappy birthday variations /$rRyan Gallagher --$tSlava! /$rLeonard Bernstein.,"1\$aJohnston Turner, Cynthia,$econductor.;1\$aFeeney, Tim,$eperformer.","\\$oRecorded$d2009 October 18,$pBailey Hall, Cornell University.",FALSE,Bailey,10/18/09 0:00,Cornell University Wind Ensemble,,
,00$aAngela Early & Damien Mahiet.,"0\$aCornell Chamber Orchestra ; Cornell Symphony Orchestra ; Blaise Bryski and Miri Yampolsky, piano ; Graeme Bailey, narrator ; Chris Younghoon Kim, conductor.","00$tSonata for violin and piano in G major, opus 30, no. 3 : (1802).$tAllegro assai ;$tTempo di minuetto ma molto moderato e grazioso /$rLudwig van Beethoven --$tSonata for violin and piano in G minor : (1917).$tAllegro vivo ;$tInterm{grave}ede: fantasque et l{acute}eger ;$tFinale: tr{grave}es anim{acute}e /$rClaude Debussy --$tSonata for violin and piano in A major, no. 1, op. 13 : (1875).$tAllegro molto ;$tAndante ;$tAllegro vivo ;$tAllegro quasi presto /$rGabriel Faur{acute}e.","1\$aEarly, Angela,$eperformer.;1\$aMahiet, Damien,$eperformer.","\\$oRecorded$d2009 October 23,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/23/09 0:00,Angela Early & Damien Mahiet.,20091023_Angela_Early_Damien_Mahiet,
,"00$aSteven Stucky, a 60th birthday celebration.",0\$aEnsemble X.,"00$tFrom Pi{grave}eces de clavecin, book II : $tLes baricades mist{acute}erieuses /$rFran{commab}cois Couperin ; arr. Thomas Ad{grave}es --$tSyd{uml}ameni laulu, op. 18, no. 6 /$rJean Sibelius --$tWhispers : (2002) /$rSteven Stucky (John Rowehl, conductor) --$tThree preludes (2005).$tLibellula meccanica ;$tChorale ;$tInvenzione a due voci /$rEsa-Pekka Salonen (Xak Bjerken, piano) --$tPartita (1984).$tAllegro giusto ;$tAd libitum ;$tLargo ;$tAd libitum;$tPresto /$rWitold Lutoslawski (Joseph Lin, violin ; Miri Yampolsky, piano) --$tAlbum leaves : (2002).$tContemplativo,$ttempo rubato ;$tMeccaninco ;$tSereno, luminoso ;$tPresto giocoso /$rStucky (Xak Bjerken, piano) --$tTwo poems of Konstantin Bal'mont.$tThe flower ;$tThe dove ;$tThree Japanese lyrics.$tAkahito ;$tMazatsumo ;$tTsaraiuki /$rIgor Stravinsky (Judith Kellock, soprano ; Chris Kim, conductor) --$tAd parnassum : (1998) /$rStucky (Jeffery Meyer, conductor).",,"\\$oRecorded$d2009 November 7,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/7/09 0:00,"Steven Stucky, a 60th birthday celebration.",20091107_Steven_Stucky,
