ID NUMBER,KALTURA ID,TITLE,Description,AccessionNumber
CUL_Lectures_CU_0268_AM_1_1,1_4u35qs4r,Has Watergate ruined Ford too?,"Stone, I. F. (Isidor Feinstein), 1907-1989.",1299035
CUL_Lectures_CU_0268_AM_1_2,1_27fgf4wb,Has Watergate ruined Ford too?,"Stone, I. F. (Isidor Feinstein), 1907-1989.",1299035
CUL_Lectures_CU_0333_AM_1_1,1_vb0sgkgy,McCarthyism,"Hiss, Alger",1299685
CUL_Lectures_CU_0338_AM_1_1,1_ovdbb262,Prison reform,"Hoffa, James R. (James Riddle), 1913-ca. 1975",1299748
CUL_Lectures_CU_0656_AM_1_1,1_oh93xqwf,A Physicist blunders into architecture,"Wilson, Robert R.",3604526
CUL_Lectures_CU_0656_AM_1_2,1_wqtzxaf2,A Physicist blunders into architecture,"Wilson, Robert R.",3604526
CUL_Lectures_CU_0685_06_AM_1_1,1_swip20hl,Rationalism: Rationalist architecture,"Krier, Rob",3602689
CUL_Lectures_CU_0685_06_AM_1_2,1_12y20uqs,Rationalism: Rationalist architecture,"Krier, Rob",3602689
CUL_Lectures_CU_0685_08_AM_1_1,1_2y47v603,Bernard Hoesli on architecture,"Hoesli, Bernard",3602691
CUL_Lectures_CU_0685_10_AM_1_1,1_0y5gvbi9,Colin Rowe on architecture,"Rowe, Colin",3602693
CUL_Lectures_CU_0685_10_AM_1_2,1_4ccwmtr0,Colin Rowe on architecture,"Rowe, Colin",3602693
CUL_Lectures_CU_0722_AM_1_1,1_xrq0nhk5,The mirror stage,Jonathan Culler,3602748
CUL_Lectures_CU_0722_AM_1_2,1_sd9oj7ey,The mirror stage,Jonathan Culler,3602748
CUL_Lectures_CU_0732_AM_1_1,1_qdefnbvh,Social communication in the chimpanzee,"Goodall, Jane",3602616
CUL_Lectures_CU_0732_AM_1_2,1_b3drkr9f,Social communication in the chimpanzee,"Goodall, Jane",3602616
CUL_Lectures_CU_0732_AM_2_1,1_ofjjjj0v,Social communication in the chimpanzee,"Goodall, Jane",3602616
CUL_Lectures_CU_0764_AM_1_1,1_xgip1xpn,Toni Morrison reads her work,"Morrison, Toni",3602582
CUL_Lectures_CU_0789_AM_1_1,1_wvd7kjqb,A study of modern and postmodern,"Koolhas, Rem",3602617
CUL_Lectures_CU_0789_AM_1_2,1_c8zvbimh,A study of modern and postmodern,"Koolhas, Rem",3602617
CUL_Lectures_CU_0836_AM_1_1,1_6grk27n4,"Names, novels and histories",Carlos Fuentes,3602373
CUL_Lectures_CU_0836_AM_1_2,1_zje9yzew,"Names, novels and histories",Carlos Fuentes,3602373
CUL_Lectures_CU_0836_AM_2_1,1_7y2ex1tw,"Names, novels and histories",Carlos Fuentes,3602373
CUL_Lectures_CU_0935_AM_2_1,1_1hp0db2w,Intellectual history: a reconsideration,Dominick LaCapra,3602200
CUL_Lectures_CU_0935_AM_2_2,1_nuojhif9,Intellectual history: a reconsideration,Dominick LaCapra,3602200
CUL_Lectures_CU_1002_AM_1_1,1_6a78qvbj,Abbie Hoffman speaks at Cornell,"Hoffmann, Abbie",3602318
CUL_Lectures_CU_1002_AM_1_2,1_ojt5ba1m,Abbie Hoffman speaks at Cornell,"Hoffmann, Abbie",3602318
CUL_Lectures_CU_1002_AM_2_1,1_z9iy6ywo,Abbie Hoffman speaks at Cornell,"Hoffmann, Abbie",3602318
