001,005,007,008,035_##$a,040_##$a,040_##$c,040_##$d,045_##$a,100_1#$a,100_1#$c,100_1#$d,100_1#$q,240_10$a,240_10$l,245_10$a,245_10$b,245_10$h,245_12$a,245_12$h,245_13$a,245_13$h,245_14$a,245_14$h,260_##$c,300_##$a,300_##$b,500_##$a,505_0#$a,510_4#$a,510_4#$b,510_4#$c,518_##$a,520_##$a,540_##$a,600_00$a,600_00$d,600_00$x,600_07$0,600_07$2,600_07$a,600_07$d,600_10$a,600_10$d,600_10$q,600_10$t,600_10$x,600_17$0,600_17$2,600_17$a,600_17$d,600_17$q,610_10$a,610_10$b,610_17$0,610_17$2,610_17$a,610_17$b,610_20$a,610_20$x,610_20$y,610_27$0,610_27$2,610_27$a,611_27$0,611_27$2,611_27$a,630_#7$0,630_#7$2,630_#7$a,630_00$a,648_#7$2,648_#7$a,650_#0$a,650_#0$v,650_#0$x,650_#0$y,650_#0$z,650_#7$0,650_#7$2,650_#7$a,650_#7$x,651_#0$a,651_#0$x,651_#0$y,651_#0$z,651_#7$0,651_#7$2,651_#7$a,651_#7$z,655_#7$0,655_#7$2,655_#7$a,700_1#$a,700_1#$c,700_1#$d,700_1#$q,710_1#$4,710_1#$a,710_1#$b,830_#0$a,830_#0$p,830_#4$a,899_1#$a,905_##$a,948_2#$a,948_2#$b,948_2#$d,948_2#$e,948_2#$x,leader
1299035,20151205164735.0,st|mm|cmb|||||,770523s1974 nyu||| | l eng d,1299035,NIC,NIC,CStRLIN,x7x7,"Stone, I. F.",,1907-1989.,"(Isidor Feinstein),",,,Has Watergate ruined Ford too?,[Sound recording],,,,,,,,,reel. 1/2 track. mono.,7 in.,"Duration: 1 hour, 45 minutes.",,,,,"Lecture recorded at Bailey Hall, September 30, 1974.",,,,,,,,,,"Ford, Gerald R.,",1913-2006.,"(Richard Milhous),",,Resignation from office.,(OCoLC)fst00031384,fast,"Nixon, Richard M.",1913-1994,"(Richard Milhous),",,,,,,,,,,,,,(OCoLC)fst01172679,fast,Watergate Affair (1972-1974),,,,,fast,1972 - 1974,"Watergate Affair, 1972-1974",,,,,(OCoLC)fst01354439,fast,Resignation from office,,,,,,,,,,,,,,,,,,,,,,,,19920423120000.0,20141118,m,batch,lts,addfast,01221cim a2200325 4500
1299685,20151205164846.0,st|km|bmb||||,770922s1975 xxu||| | l eng ,1299685,NIC,NIC,CStRLIN,x7x7,"Hiss, Alger.",,,,,,McCarthyism.,,[Sound recording],,,,,,,,1 reel. 1/2 track. mono.,,Duration: 32 minutes.,,,,,,,,,,,,,,,"McCarthy, Joseph,",1908-1957.,,,,(OCoLC)fst00034087,fast,"McCarthy, Joseph,",1908-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19330303120000.0,20141118,m,batch,lts,addfast,00745cim a2200253 4500
1299748,20151205164853.0,ss|km|bmb||||,770930s1975 nyu||| | l eng d,1299748,NIC,NIC,CStRLIN,x7x7,"Hoffa, James R.",,1913-,"(James Riddle),",,,Prison reform.,,[Sound recording],,,,,,,,1 reel. 1/2 track. mono.,,Duration: 40 minutes.,,,,,"Recorded at Ives Hall, April 8, 1975.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prf,National Association for Justice.,Cornell Chapter.,,,,,19330303120000.0,,,,,,00771cim a2200241 4500
3604526,20151214211231.0,ss|lmnjluz|nuu,991101s1977 nyunnn l eng d,(OCoLC)63902930,NIC,NIC,NIC,,"Wilson, Robert R.,",,1914-2000.,,,,,,,A Physicist blunders into architecture,[sound recording],,,,,1977.,1 sound cassette (60 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Lecture, October 27, 1977.",,No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bethe lectures.,,,CULectures,20000414120000.0,,,,,,00725cim a22002412u 4500
3602689,20151214183154.0,ss|lmnjluz|nuu,991101s1978 nyunnn l eng d,(OCoLC)63899784,NIC,NIC,NIC,,"Krier, Rob.",,,,,,Rationalism: rationalist architecture,,[sound recording],,,,,,,1978.,1 sound cassette (85 min.) :,"analog, mono.","Sponsored by: Architecture, Department of.",,,,,"Lecture, March 1, 1978.",,No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preston H. Thomas memorial lectures.,,,CULectures,19991201120000.0,,,,,,00777cim a22002532u 4500
3602691,20151214183154.0,ss|lmnjluz|nuu,991101s1978 nyunnn l eng d,(OCoLC)63899786,NIC,NIC,NIC,,"Hoesli, Bernhard",,,,,,Bernard Hoesli on architecture,,[sound recording],,,,,,,1978.,1 sound cassette (35 min.) :,"analog, mono.","Sponsored by: Architecture, Department of.",,,,,"Lecture, April 14, 1978.",,No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preston H. Thomas memorial lectures.,,,CULectures,20000310120000.0,,,,,,00776cim a22002532u 4500
3602693,20151214183154.0,ss|lmnjluz|nuu,991101s1978 nyunnn l eng d,(OCoLC)63899789,NIC,NIC,NIC,,"Rowe, Colin.",,,,,,Colin Rowe on architecture,,[sound recording],,,,,,,1978.,1 sound cassette :,"analog, mono.","Sponsored by: Architecture, Department of.",,,,,"May 7, 1978.",,No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preston H. Thomas memorial lectures.,,,CULectures,19991201120000.0,,,,,,00746cim a22002532u 4500
3602748,20151214183201.0,ss|lmnjluz|nuu,991101s1978 nyunnn l eng d,(OCoLC)63899881,NIC,NIC,NIC,,"Culler, Jonathan D.",,,,,,,,,,,,,The mirror stage,[sound recording],1978.,1 sound cassette :,"analog, mono.","Speaker(s): Class of 1916 Professor of English and professor of
                comparative literature at Cornell University.",,,,,"Lecture, April 21, 1978.","Culler discusses the interpretation of the Romantic poets set forth
                in The Mirror & the Lamp,' a work of literary criticism by M. H. Abrams,
                and suggests that modern interpretations of the works of the Romantic poets have
                developed within the context of the metaphor set forth within this book.",No reproductions authorized.,,,,,,,,"Abrams, M. H.",1912-2015.,"(Meyer Howard),",Mirror and the lamp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romanticism.,,"Theory, etc.",,,(OCoLC)fst01100133,fast,Romanticism,,,,,,,,,,(OCoLC)fst01411635,fast,"Criticism, interpretation, etc.",,,,,,,,High romantic arguments.,,,CULectures,20000120120000.0,20141221,m,batch,lts,addfast,01543cim a22003492u 4500
3602616,20151214183147.0,ss|lmnjluz|nuu,991101s1978 nyunnn l eng d,(OCoLC)63899656,NIC,NIC,NIC,,"Goodall, Jane.",,,,,,Social communication in the chimpanzee,,[sound recording],,,,,,,1978.,2 sound cassettes :,"analog, mono.",Speaker(s): Primate researcher.,,,,,"Lecture, May 5, 1978.","Goodall discusses the world of the chimpanzee, focusing in particular
                on the Gombe chimp. She uses a film and a slide presentation as visual aids in her
                description of the individual behavior of the animals, their social structure,
                mating practices, and ability to learn and understand language and sign
                language.",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mammals,,Behavior.,,Gombe Stream National Park,(OCoLC)fst01006954,fast,Mammals,Behavior,,,,,(OCoLC)fst01692438,fast,Tanzania,Gombe National Park,,,,,,,,,,,Kappa Alpha Theta lectures.,,,CULectures,20000330120000.0,20141221,m,batch,lts,addfast,01603cim a22003732u 4500
3602582,20151214183144.0,ss|lmnjluz|nuu,991101s1978 nyunnn l eng d,(OCoLC)63899605,NIC,NIC,NIC,,"Morrison, Toni.",,,,,,Toni Morrison reads her work,,[sound recording],,,,,,,,1 sound cassette :,"analog, mono.","Speaker(s): Author; professor at Howard University; Cornell
                alumnus.",,,,,Reading and Lecture.,"Toni Morrison gives a talk entitled, ""A Matter of Fiction,""
                which discusses why people write and read fiction, specifically relating her own
                motivations. Morrison focuses on the preservation of the oral tradition as her
                primary motivation.",No reproductions authorized.,,,,,,,,"Morrison, Toni.",,,,,(OCoLC)fst00062028,fast,"Morrison, Toni",,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,Writing.,,Women authors.,20th century.,,(OCoLC)fst01181638,fast,Writing,Women authors,,,,,,,,,,,,,,,,,,,,,,CULectures,20000331120000.0,20141221,m,batch,lts,addfast,01414cim a22003612u 4500
3602617,20151214183147.0,ss|lmnjluz|nuu,991101s1979 nyunnn l eng d,(OCoLC)63899659,NIC,NIC,NIC,,"Koolhas, Rem",,,,,,,,,"A study of modern and postmodern architecture through architectural
                details",[sound recording],,,,,1979.,1 sound cassette (90 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Lecture, March 2, 1979.","Koolhas discusses modernist and post-modernist ideas in architecture
                through study of a number of architectural details.",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1800 - 1899,"Architecture, Modern",,Details.,19th century.,,(OCoLC)fst00813902,fast,"Architecture, Postmodern",Details,,,,,,,,,,,,,,,,,,,,,,CULectures,20000119120000.0,20141221,m,batch,lts,addfast,01256cim a22003372u 4500
3602373,20151214183118.0,ss|lmnjluz|nuu,991101s1979 nyunnn l eng d,(OCoLC)63899276,NIC,NIC,NIC,,"Fuentes, Carlos.",,,,,,"Names, novels and histories",,[sound recording],,,,,,,1979.,2 sound cassettes (70 min.) :,"analog, mono.",Speaker(s): Critically acclaimed Mexican author.,,,,,"Lecture, October 16, 1979.","Discusses the unequaled importance of language in the perception of
                history.",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Language and history.,,,,,(OCoLC)fst00992152,fast,Language and history,,,,,,,,,,,,,,,,,,,,,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01092cim a22003012u 4500
3602200,20151214183048.0,ss|lmnjluz|nuu,991101s1980 nyunnn l eng d,(OCoLC)63898955,NIC,NIC,NIC,,"LaCapra, Dominick,",,1939- ,,,,Intellectual history: a reconsideration,,[sound recording],,,,,,,1980.,1 sound cassette (75 min.) :,"analog, mono.","Sponsored by: Society for the Humanities,Western Societies
                Program,History, Department of.",,,,,"Lecture, April 24, 1980.","After explaining that a feeling of crises within the field of
                intellectual history has motivated introspection into the nature and objectives of
                the field, LaCapra discusses existing approaches and outlines alternative methods of
                addressing issues in intellectual history.",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intellectual life,,History.,,,(OCoLC)fst00975769,fast,Intellectual life,,Europe,Intellectual life.,,,(OCoLC)fst01245064,fast,Europe,,(OCoLC)fst01411628,fast,History,,,,,,,,Future of European intellectual history.,,,CULectures,20000328120000.0,20141221,m,batch,lts,addfast,01436cim a22003372u 4500
3602318,20151214183108.0,ss|lmnjluz|nuu,991101s1981 nyunnn l eng d,(OCoLC)63899191,NIC,NIC,NIC,,"Hoffman, Abbie.",,,,,,[Abbie Hoffman speaks at Cornell.],,[sound recording],,,,,,,1981.,2 sound cassettes (170 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Lecture, December 7, 1981.","This recording includes approximately 30 min. of a press conference
                given in conjunction with the lecture. Abbie Hoffman discusses the media, the
                government and his protest activites.",No reproductions authorized.,,,,,,,,"Hoffman, Abbie.",,,,,(OCoLC)fst00055493,fast,"Hoffman, Abbie",,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,Radicalism,,,20th century.,United States,(OCoLC)fst01087015,fast,Radicalism,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,,,,,,CULectures,20000404120000.0,20141221,m,batch,lts,addfast,01322cim a22003492u 4500
3602112,20151214183031.0,ss|lmnjluz|nuu,991101s1981 nyunnn l eng d,(OCoLC)63898812,NIC,NIC,NIC,,"Eco, Umberto.",,,,,,"Horns, beans and insteps: guessing from Aristotle to Sherlock
                Holmes",,[sound recording],,,,,,,1981.,1 sound cassette :,"analog, mono.",Sponsored by: Western Societies Program.,,,,,"Lecture, October 23, 1981.","A comparative discussion about semiotics and logic in Sherlock
                Holmes, Aristotle, and other analytical philosophers.",No reproductions authorized.,Aristotle.,,,(OCoLC)fst00029885,fast,Aristotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abduction (Logic) ,,,,,(OCoLC)fst01112351,fast,Semiotics,,,,,,,,,,,,,,,,,,,,Semiotics of culture.,,,CULectures,20000313120000.0,20141221,m,batch,lts,addfast,01392cim a22003972u 4500
3601684,20151214182920.0,ss|lmnjluz|nuu,991101s1981 nyunnn l eng d,(OCoLC)63898031,NIC,NIC,NIC,,"Singer, Isaac Bashevis,",,1904-1991.,,,,Cabala and the modern man,,[sound recording],,,,,,,1981.,1 sound cassette :,"analog, mono.",Speaker(s): Jewish-American fiction writer.,,,,,"Lecture, November 4, 1981.","Singer discusses the significance of cabala--the Jewish theology
                based on a cipher method of interpreting the scripture--to the sceptical, scientific
                modern man.",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01358224,fast,Cábala (Title),Cábala.,,,Science and magic.,,,,,(OCoLC)fst01108531,fast,Science and magic,,,,,,,,,,,,,,,,,,,,,,,CULectures,20000315120000.0,20141221,m,batch,lts,addfast,01590cim a22003732u 4500
3601822,20151214182942.0,ss|lmnjluz|nuu,991101s1981 nyunnn l eng d,(OCoLC)63898271,NIC,NIC,NIC,,"Steinem, Gloria.",,,,,,Reaganomics and women,,[sound recording],,,,,,,1981.,2 sound cassettes :,"analog, mono.","Speaker(s): Political journalist; on the national boards of the
                National Organization for Women and the National Women's Political Caucus;
                editor, Ms. magazine.",,,,,"Lecture, November 15, 1981.","Steinem criticizes the Reagan administration for its stance on issues
                concerning women, abortion, and minorities. She discusses the need for the more
                unified organization of women in politics.",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women's rights,,,,United States.,(OCoLC)fst01178818,fast,Women's rights,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,,,Reaganomics and minorities.,,,CULectures,20000327120000.0,20141221,m,batch,lts,addfast,01892cim a22003972u 4500
3601860,20151214182950.0,ss|lmnjluz|nuu,991101s1982 nyunnn l eng d,(OCoLC)63898374,NIC,NIC,NIC,,"Hartigan, Grace.",,,,,,Lecturing on her work,,[sound recording],,,,,,,1982.,1 sound cassette :,"analog, mono.","Speaker(s): Painter; Director, Haffburger Graduate School of
                Painting, Merrill Institute.",,,,,"Lecture, March 23, 1982.","Hartigan discusses her background as an artist and gives a slide show
                of her works, discussing the history of each painting.",No reproductions authorized.,,,,,,,,"Hartigan, Grace.",,,,,(OCoLC)fst00083199,fast,"Hartigan, Grace",,,,,,,,,,,,,,,,,,,,,,,,"Art, American.",,,,,(OCoLC)fst01050648,fast,"Painting, American",,,,,,,,,,,,,,,,,,,,,,,CULectures,20000407120000.0,20141221,m,batch,lts,addfast,01271cim a22003492u 4500
3601895,20151214182955.0,ss|lmnjluz|nuu,991101s1982 nyunnn l eng d,(OCoLC)63898441,NIC,NIC,NIC,,"Rich, Adrienne,",,1929-2012.,,,,Adrienne Rich reads her own poetry,,[sound recording],,,,,,,1982.,2 sound cassettes :,"analog, mono.","Speaker(s): Andrew D. White Professor-at-Large; poet and leading
                feminist thinker.",,,,,"Reading, May 5, 1982.","Rich reads a collections of her poems which illustrate her feminist
                views on issues such as the Holocaust, racism and sexuality.",No reproductions authorized.,,,,,,,,"Rich, Adrienne,",1929-2012.,,,,(OCoLC)fst01799606,fast,"Rich, Adrienne,",1929-2012,,,,,,,,,,,,,,,,,,,,,,,Women,,Poetry.,,,(OCoLC)fst01176568,fast,Women,,,,,,,,,,(OCoLC)fst01423828,fast,Poetry,,,,,,,,,,,CULectures,20000316120000.0,20141221,m,batch,lts,addfast,01366cim a22003612u 4500
