AccessionNumber,ID NUMBER,KALTURA ID,dc.contributor.author 1,dc.contributor.author 2,dc.contributor.author 3,dc.contributor.author 4,dc.contributor.author 5,dc.contributor.author 6,dc.contributor.author 7,dc.contributor.author 8,dc.contributor.other,dc.date.created,dc.description,dc.description.abstract,dc.description.tableOfContents,dc.format.extent,dc.language.iso,dc.subject.lcsh 1,dc.subject.lcsh 2,dc.subject.lcsh 3,dc.subject.lcsh 4,dc.subject.lcsh 5,dc.subject.lcsh 6,dc.subject.other,dc.title,dc.title.alternative,dc.type
1299035,CUL_Lectures_CU_0268_AM_1_1 | CUL_Lectures_CU_0268_AM_1_2,1_4u35qs4r | 1_27fgf4wb,"Stone, I. F. (Isidor Feinstein), 1907-1989",,,,,,,,,1974-09-30,"Lecture recorded at Bailey Hall, September 30, 1974.",,,105 minutes,eng,"Nixon, Richard M. (Richard Milhous), 1913-1994--Resignation from office","Ford, Gerald R., 1913-2006","Watergate Affair, 1972-1974","Watergate Affair, 1972-1974",,,1972 - 1974,Has Watergate ruined Ford too?,,Sound
1299685,CUL_Lectures_CU_0333_AM_1_1,1_vb0sgkgy,"Hiss, Alger",,,,,,,,,1975-03-13,"Recorded March 13, 1975 at Ives Hall.",,,32 minutes,eng,,,,,,,,McCarthyism.,,Sound
1299748,CUL_Lectures_CU_0338_AM_1_1,1_ovdbb262,"Hoffa, James R. (James Riddle), 1913-",,,,,,,,National Association for Justice. Cornell Chapter,1975-04-08,"Sponsored by the Cornell Chapter of the National Association for Justice., Recorded at Ives Hall, April 8, 1975.",,,40 minutes,eng,,,,,,,,Prison reform.,,Sound
3604526,CUL_Lectures_CU_0656_AM_1_1 | CUL_Lectures_CU_0656_AM_1_2,1_oh93xqwf | 1_wqtzxaf2,"Wilson, Robert R., 1914-2000",,,,,,,,,1977-10-27,"Recorded in Ithaca, NY by Cornell University., Lecture, October 27, 1977.",,,60 minutes,eng,,,,,,,,A Physicist blunders into architecture,Bethe lectures.,Sound
3602689,CUL_Lectures_CU_0685_06_AM_1_1 | CUL_Lectures_CU_0685_06_AM_1_2,1_swip20hl | 1_12y20uqs,"Krier, Rob",,,,,,,,,1978-03-01,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Architecture, Department of., Lecture, March 1, 1978.",,,85 minutes,eng,,,,,,,,Rationalism: rationalist architecture,Preston H. Thomas memorial lectures.,Sound
3602691,CUL_Lectures_CU_0685_08_AM_1_1,1_2y47v603,"Hoesli, Bernhard",,,,,,,,,1978-04-14,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Architecture, Department of., Lecture, April 14, 1978.",,,35 minutes,eng,,,,,,,,Bernard Hoesli on architecture,Preston H. Thomas memorial lectures.,Sound
3602693,CUL_Lectures_CU_0685_10_AM_1_1 | CUL_Lectures_CU_0685_10_AM_1_2,1_0y5gvbi9 | 1_4ccwmtr0,"Rowe, Colin",,,,,,,,,1978-05-07,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Architecture, Department of., May 7, 1978.",,,,eng,,,,,,,,Colin Rowe on architecture,Preston H. Thomas memorial lectures.,Sound
3602748,CUL_Lectures_CU_0722_AM_1_1 | CUL_Lectures_CU_0722_AM_1_2,1_xrq0nhk5 | 1_sd9oj7ey,"Culler, Jonathan D.",,,,,,,,,1978-04-21,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): Class of 1916 Professor of English and professor of comparative literature at Cornell University., Lecture, April 21, 1978.","Culler discusses the interpretation of the Romantic poets set forth in The Mirror & the Lamp,' a work of literary criticism by M. H. Abrams, and suggests that modern interpretations of the works of the Romantic poets have developed within the context of the metaphor set forth within this book.",,,eng,"Abrams, M. H. (Meyer Howard), 1912-2015. Mirror and the lamp","English literature--History and criticism--Theory, etc",Romanticism,,,,,The mirror stage,High romantic arguments.,Sound
3602616,CUL_Lectures_CU_0732_AM_1_1 | CUL_Lectures_CU_0732_AM_1_2 | CUL_Lectures_CU_0732_AM_2_1,1_qdefnbvh | 1_b3drkr9f | 1_ofjjjj0v,"Goodall, Jane",,,,,,,,,1978-05-05,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Kappa Alpha Theta,Biological Sciences, Division of., Speaker(s): Primate researcher., Lecture, May 5, 1978.","Goodall discusses the world of the chimpanzee, focusing in particular on the Gombe chimp. She uses a film and a slide presentation as visual aids in her description of the individual behavior of the animals, their social structure, mating practices, and ability to learn and understand language and sign language.",,,eng,Chimpanzees,Chimpanzees--Behavior,Mammals--Tanzania--Gombe Stream National Park--Behavior,,,,,Social communication in the chimpanzee,Kappa Alpha Theta lectures.,Sound
3602582,CUL_Lectures_CU_0764_AM_1_1,1_xgip1xpn,"Morrison, Toni",,,,,,,,,1978,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Author, professor at Howard University, Cornell alumnus., Reading and Lecture.","Toni Morrison gives a talk entitled, ""A Matter of Fiction,"" which discusses why people write and read fiction, specifically relating her own motivations. Morrison focuses on the preservation of the oral tradition as her primary motivation.",,,eng,"Morrison, Toni",Fiction--Women authors,Fiction--20th century,Writing,,,1900 - 1999,Toni Morrison reads her work,,Sound
3602617,CUL_Lectures_CU_0789_AM_1_1 | CUL_Lectures_CU_0789_AM_1_2,1_wvd7kjqb | 1_c8zvbimh,"Koolhas, Rem",,,,,,,,,1979-03-02,"Recorded in Ithaca, NY by Cornell University., Lecture, March 2, 1979.",Koolhas discusses modernist and post-modernist ideas in architecture through study of a number of architectural details.,,90 minutes,eng,Architecture--Details,"Architecture, Postmodern","Architecture, Modern--19th century",,,,1800 - 1899,A study of modern and postmodern architecture through architectural details,,Sound
3602373,CUL_Lectures_CU_0836_AM_1_1 | CUL_Lectures_CU_0836_AM_1_2 | CUL_Lectures_CU_0836_AM_2_1,1_6grk27n4 | 1_zje9yzew | 1_7y2ex1tw,"Fuentes, Carlos",,,,,,,,,1979-10-16,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities,Latin American Studies Program,Romance Studies, Department of., Speaker(s): Critically acclaimed Mexican author., Lecture, October 16, 1979.",Discusses the unequaled importance of language in the perception of history.,,70 minutes,eng,,,,,,,,"Names, novels and histories",,Sound
3602200,CUL_Lectures_CU_0935_AM_2_1 | CUL_Lectures_CU_0935_AM_2_2,1_1hp0db2w | 1_nuojhif9,"LaCapra, Dominick, 1939-",,,,,,,,,1980-04-24,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities,Western Societies Program,History, Department of., Lecture, April 24, 1980.","After explaining that a feeling of crises within the field of intellectual history has motivated introspection into the nature and objectives of the field, LaCapra discusses existing approaches and outlines alternative methods of addressing issues in intellectual history.",,75 minutes,eng,,,,,,,,Intellectual history: a reconsideration,Future of European intellectual history.,Sound
3602318,CUL_Lectures_CU_1002_AM_1_1 | CUL_Lectures_CU_1002_AM_1_2 | CUL_Lectures_CU_1002_AM_2_1,1_6a78qvbj | 1_ojt5ba1m | 1_z9iy6ywo,"Hoffman, Abbie",,,,,,,,,1981-12-07,"Recorded in Ithaca, NY by Cornell University., Lecture, December 7, 1981.","This recording includes approximately 30 min. of a press conference given in conjunction with the lecture. Abbie Hoffman discusses the media, the government and his protest activites.",,170 minutes,eng,"Hoffman, Abbie",Political participation,Radicalism--United States--20th century,,,,1900 - 1999,[Abbie Hoffman speaks at Cornell.],,Sound
3602112,CUL_Lectures_CU_1099_AM_1_1 | CUL_Lectures_CU_1099_AM_1_2,1_8risr7ws | 1_7g0vkjto,"Eco, Umberto",,,,,,,,,1981-10-23,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Lecture, October 23, 1981.","A comparative discussion about semiotics and logic in Sherlock Holmes, Aristotle, and other analytical philosophers.",,,eng,Aristotle,Induction (Logic),Logic,Semiotics,Abduction (Logic),,,"Horns, beans and insteps: guessing from Aristotle to Sherlock Holmes",Semiotics of culture.,Sound
3601684,CUL_Lectures_CU_1101_AM_1_1 | CUL_Lectures_CU_1101_AM_1_2,1_oe0gu49r | 1_brzmk5iu,"Singer, Isaac Bashevis, 1904-1991",,,,,,,,,1981-11-04,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Student Finance Commission,Friends of Israel,Jewish Studies Program,Council on the Creative and Performing Arts,Temple Beth-El,Sigma Phi Fraternity,University Unions Programming Board,Near Eastern Studies, Department of,Young Israel House,Young Judea., Speaker(s): Jewish-American fiction writer., Lecture, November 4, 1981.","Singer discusses the significance of cabala--the Jewish theology based on a cipher method of interpreting the scripture--to the sceptical, scientific modern man.",,,eng,Cabala,Jewish literature,Magic,Science and magic,,,,Cabala and the modern man,,Sound
3601822,CUL_Lectures_CU_1109_AM_1_1 | CUL_Lectures_CU_1109_AM_1_2,1_7il642pf | 1_2xugaf27,"Steinem, Gloria",,,,,,,,,1981-11-15,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Unions Program Board,Interfraternity Council,Sigma Chi,Alpha Delta Phi,Panhellenic Council,Women's Studies Program,Women's resource Center,Alpha Phi Omega,Mortar Board Honor Society,ILR Student Government,Unions and Activities, Department of., Speaker(s): Political journalist, on the national boards of the National Organization for Women and the National Women's Political Caucus, editor, Ms. magazine., Lecture, November 15, 1981.","Steinem criticizes the Reagan administration for its stance on issues concerning women, abortion, and minorities. She discusses the need for the more unified organization of women in politics.",,,eng,Supply-side economics,Equal rights amendments--United States,Discrimination,Women's rights--United States,,,,Reaganomics and women,Reaganomics and minorities.,Sound
3601860,CUL_Lectures_CU_1157_AM_1_1 | CUL_Lectures_CU_1157_AM_1_2,1_gnlsrx4e | 1_0wx2w868,"Hartigan, Grace",,,,,,,,,1982-03-23,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Art, Department of., Speaker(s): Painter, Director, Haffburger Graduate School of Painting, Merrill Institute., Lecture, March 23, 1982.","Hartigan discusses her background as an artist and gives a slide show of her works, discussing the history of each painting.",,,eng,"Hartigan, Grace","Painting, American","Art, American",,,,,Lecturing on her work,,Sound
3601895,CUL_Lectures_CU_1192_AM_1_1 | CUL_Lectures_CU_1192_AM_1_2 | CUL_Lectures_CU_1192_AM_2_1,1_xxp9p609 | 1_u1y61u2v | 1_509o0mut,"Rich, Adrienne, 1929-2012",,,,,,,,,1982-05-05,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Women's Studies Program., Speaker(s): Andrew D. White Professor-at-Large, poet and leading feminist thinker., Reading, May 5, 1982.","Rich reads a collections of her poems which illustrate her feminist views on issues such as the Holocaust, racism and sexuality.",,,eng,"Rich, Adrienne, 1929-2012",Feminism in literature,Women--Poetry,,,,,Adrienne Rich reads her own poetry,,Sound
3601114,CUL_Lectures_CU_1222_AM_1_1 | CUL_Lectures_CU_1222_AM_1_2 | CUL_Lectures_CU_1222_AM_2_1,1_mjn8oqx6 | 1_arp2esg4 | 1_qszy5t7b,"Choay, Françoise",,,,,,,,,1982-10-14,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Architecture, Department of., Lecture, October 14, 1982.","Choay outlines the concepts of myth, history, and remembrance and their relationship to the built environment.",,80 minutes,eng,,,,,,,,Theory of architecture: conflicting roles of myth,Preston H. Thomas memorial lectures.,Sound
