Title,Call Number,Part(s),Year,Date Range,Date 1,Date 2,Date 3,Barcode 1,Barcode 2,Barcode 3,Notes 1,Notes 2,Leader,003,007,008
"Voice and fortepiano, Andrea Folan and Andrew Willis",DAT CU 1,,1993,1993 July 20,1993 July 20,,,31924119822082,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Tom Beghin, fortepiano",DAT CU 2,,1993,1993 September 21,1993 September 21,,,31924119822090,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
French baroque music,DAT CU 3,,1993,1993 October 6,1993 October 6,,,31924119822108,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Syracuse Society for New Music,DAT CU 4,,1993,1993 November 7,1993 November 7,,,31924119822116,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Gioacchino Rossini petite messe solennelle,DAT CU 5,,1993,1993 November 11,1993 November 11,,,31924119822124,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
New music from Cornell,DAT CU 6,,1993,1993 November 15,1993 November 15,,,31924119822132,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Chamber music of Johannes Brahms,DAT CU 7,,1993,1993 December 1,1993 December 1,,,31924119822140,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Gamelan Ensemble,DAT CU 8,,1993,1993 December 3,1993 December 3,,,31924119822157,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Ithaca Opera Association, Cornell musica nova",DAT CU 9,,1994,1994 February 5,1994 February 5,,,31924119822165,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Night of the living composers,DAT CU 10,,1994,1994 May 13,1994 May 13,,,31924119822173,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Sonya Monosoff, violin, Shalev Ad-El, harpsichord",DAT CU 11,,1994,1994 September 29,1994 September 29,,,31924119822181,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Music library benefit concert,DAT CU 12,,1995,1995 January 21,1995 January 21,,,31924119822199,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Fantasias by Henry Purcell,DAT CU 13,,1995,1995 September 2,1995 September 2,,,31924119822207,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Judith Kellock, soprano, Malcolm Bilson, fortepiano",DAT CU 14,,1995,1995 September 3,1995 September 3,,,31924119822215,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Stephanie Vial, cello, Blaise Bryski, fortepiano",DAT CU 15,,1995,1995 September 9,1995 September 9,,,31924119822223,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
After Eight presents the witching hour,DAT CU 16,,1995,1995 October 14,1995 October 14,,,31924119822231,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Annette Richards, organist",DAT CU 17,,1995,1995 November 5,1995 November 5,,,31924119822249,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music concert,DAT CU 18,,1995,1995 December 7,1995 December 7,,,31924119822256,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Phyllis Bryn-Julson, soprano, Xak Bjerken, piano",DAT CU 19,,1995,1995 December 8,1995 December 8,,,31924119822264,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Le Pauvre Matelot and La Creation du Monde,DAT CU 20,,1996,1996 February 11,1996 February 11,,,31924119822272,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Judith Kellock, soprano",DAT CU 21,,1996,1996 February 23,1996 February 23,,,31924119822280,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Messiaen festival,DAT CU 22,1-3,1996,"1996 April 2, 1996 April 5, 1996 April 8",1996 April 2,1996 April 5,1996 April 8,31924119822298,31924119822306,31924119822314,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chorale,DAT CU 23,,1996,1996 April 12,1996 April 12,,,31924119822322,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Brian Brooks, violin",DAT CU 24,,1996,1996 April 16,1996 April 16,,,31924119822330,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Blaise Bryski, fortepiano, Stephanie Vial, cello",DAT CU 25,,1996,1996 April 19,1996 April 19,,,31924119822348,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Brian Brooks, violin",DAT CU 26,,1996,1996 April 23,1996 April 23,,,31924119822355,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Students of Xak Bjerken,DAT CU 27,,1996,1996 April 24,1996 April 24,,,31924119822363,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Rhythm & brass,DAT CU 28,,1996,1996 April 25,1996 April 25,,,31924119822371,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Orchestra,DAT CU 29,,1996,1996 April 27,1996 April 27,,,31924119822389,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Ferhat assisted by the Bossa Rio Trio,DAT CU 30,,1996,1996 October 5,1996 October 5,,,31924119822397,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Vocal and instrumental chamber music of Bach and Handel,DAT CU 31,,1996,1996 October 22,1996 October 22,,,31924119822405,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Karel Husa, 75th birthday celebration concert",DAT CU 32,,1996,1996 October 26,1996 October 26,,,31924119822413,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
New music from Cornell,DAT CU 33,,1996,1996 November 1,1996 November 1,,,31924119822421,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 34,,1996,1996 November 9,1996 November 9,,,31924119822439,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Singers,DAT CU 35,,1996,1996 November 10,1996 November 10,,,31924119822447,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Xak Bjerken, piano",DAT CU 36,,1996,1996 November 22,1996 November 22,,,31924119822454,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chorale,DAT CU 37,,1996,1996 November 24,1996 November 24,,,31924119822462,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Students of Judith Kellock,DAT CU 38,,1996,1996 December 12,1996 December 12,,,31924119822470,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Fin de Siecle Germany,DAT CU 39,,1997,1997 February 16,1997 February 16,,,31924119822488,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 40,,1997,1997 February 23,1997 February 23,,,31924119822496,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 41,,1997,1997 March 1,1997 March 1,,,31924119822504,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Festetics Quartet,DAT CU 42,,1997,1997 March 27,1997 March 27,,,31924119822512,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Sonya Monosoff, violin, Andrew Willis, fortepiano",DAT CU 43,,1997,1997 March 30,1997 March 30,,,31924119822520,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Orchestra,DAT CU 44,,1997,1997 April 12,1997 April 12,,,31924119822538,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cuarteto Latinoamericano,DAT CU 45,,1997,1997 April 13,1997 April 13,,,31924119822546,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chorale (session tape),DAT CU 46,,1997,1997 April 18,1997 April 18,,,31924119822579,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chorale (production master),DAT CU 47,,1997,1997 April 18,1997 April 18,,,31924119822587,,,Not live,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Jazz bands,DAT CU 48,1-2,1997,"1997 April 25, 1997 April 25",1997 April 25,1997 April 25,,31924119822553,31924119822561,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Gamelan Ensemble,DAT CU 49,,1997,1997 May 2,1997 May 2,,,31924119822595,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 50,,1997,1997 May 4,1997 May 4,,,31924119822611,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 51,,1997,1997 May 5,1997 May 5,,,31924119822603,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Mostly Gershwin,DAT CU 52,,1997,1997 June 7,1997 June 7,,,31924119822629,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Orientation concert series 1997,DAT CU 53,,1997,1997 August 25,1997 August 25,,,31924119822637,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Florestan Trio,DAT CU 54,,1997,1997 September 6,1997 September 6,,,31924119822645,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Richard Stoltzman,DAT CU 55,1-2,1997,"1997 September 10, 1997 September 10",1997 September 10,1997 September 10,,31924119822652,31924119822660,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"William Hite, tenor, Malcolm Bilson, fortepiano",DAT CU 56,,1997,1997 September 14,1997 September 14,,,31924119822678,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Edward Murray & David Borden, pianists",DAT CU 57,,1997,1997 September 20,1997 September 20,,,31924119822686,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Patricia Bolen, horn, Grame Bailey, piano",DAT CU 58,,1997,1997 September 23,1997 September 23,,,31924119822694,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
