Title,Date,Barcode,Part,Notes
"Voice and fortepiano, Andrea Folan and Andrew Willis",1993 July 20,31924119822082,,
"Tom Beghin, fortepiano",1993 September 21,31924119822090,,
French baroque music,1993 October 6,31924119822108,,
Syracuse Society for New Music,1993 November 7,31924119822116,,
Gioacchino Rossini petite messe solennelle,1993 November 11,31924119822124,,
New music from Cornell,1993 November 15,31924119822132,,
Chamber music of Johannes Brahms,1993 December 1,31924119822140,,
Cornell Gamelan Ensemble,1993 December 3,31924119822157,,
"Ithaca Opera Association, Cornell musica nova",1994 February 5,31924119822165,,
Night of the living composers,1994 May 13,31924119822173,,
"Sonya Monosoff, violin, Shalev Ad-El, harpsichord",1994 September 29,31924119822181,,
Music library benefit concert,1995 January 21,31924119822199,,
Fantasias by Henry Purcell,1995 September 2,31924119822207,,
"Judith Kellock, soprano, Malcolm Bilson, fortepiano",1995 September 3,31924119822215,,
"Stephanie Vial, cello, Blaise Bryski, fortepiano",1995 September 9,31924119822223,,
After Eight presents the witching hour,1995 October 14,31924119822231,,
"Annette Richards, organist",1995 November 5,31924119822249,,
Student chamber music concert,1995 December 7,31924119822256,,
"Phyllis Bryn-Julson, soprano, Xak Bjerken, piano",1995 December 8,31924119822264,,
Le Pauvre Matelot and La Creation du Monde,1996 February 11,31924119822272,,
"Judith Kellock, soprano",1996 February 23,31924119822280,,
Messiaen festival,1996 April 2,31924119822298,1,
Messiaen festival,1996 April 5,31924119822306,2,
Messiaen festival,1996 April 8,31924119822314,3,
Cornell Chorale,1996 April 12,31924119822322,,
"Brian Brooks, violin",1996 April 16,31924119822330,,
"Blaise Bryski, fortepiano, Stephanie Vial, cello",1996 April 19,31924119822348,,
"Brian Brooks, violin",1996 April 23,31924119822355,,
Students of Xak Bjerken,1996 April 24,31924119822363,,
Rhythm & brass,1996 April 25,31924119822371,,
Cornell Chamber Orchestra,1996 April 27,31924119822389,,
Ferhat assisted by the Bossa Rio Trio,1996 October 5,31924119822397,,
Vocal and instrumental chamber music of Bach and Handel,1996 October 22,31924119822405,,
"Karel Husa, 75th birthday celebration concert",1996 October 26,31924119822413,,
New music from Cornell,1996 November 1,31924119822421,,
Cornell Contemporary Chamber Players,1996 November 9,31924119822439,,
Cornell Chamber Singers,1996 November 10,31924119822447,,
"Xak Bjerken, piano",1996 November 22,31924119822454,,
Cornell Chorale,1996 November 24,31924119822462,,
Students of Judith Kellock,1996 December 12,31924119822470,,
Fin de Siecle Germany,1997 February 16,31924119822488,,
Cornell Contemporary Chamber Players,1997 February 23,31924119822496,,
Cornell Contemporary Chamber Players,1997 March 1,31924119822504,,
Festetics Quartet,1997 March 27,31924119822512,,
"Sonya Monosoff, violin, Andrew Willis, fortepiano",1997 March 30,31924119822520,,
Cornell Chamber Orchestra,1997 April 12,31924119822538,,
Cuarteto Latinoamericano,1997 April 13,31924119822546,,
Cornell Chorale (session tape),1997 April 18,31924119822579,,
Cornell Chorale (production master),1997 April 18,31924119822587,,Not live
Jazz bands,1997 April 25,31924119822553,1,
Jazz bands,1997 April 25,31924119822561,2,
Cornell Gamelan Ensemble,1997 May 2,31924119822595,,
Student chamber music recital,1997 May 4,31924119822611,,
Student chamber music recital,1997 May 5,31924119822603,,
Mostly Gershwin,1997 June 7,31924119822629,,
Orientation concert series 1997,1997 August 25,31924119822637,,
Florestan Trio,1997 September 6,31924119822645,,
Richard Stoltzman,1997 September 10,31924119822652,1,
Richard Stoltzman,1997 September 10,31924119822660,2,
"William Hite, tenor, Malcolm Bilson, fortepiano",1997 September 14,31924119822678,,
"Edward Murray & David Borden, pianists",1997 September 20,31924119822686,,
"Patricia Bolen, horn, Grame Bailey, piano",1997 September 23,31924119822694,,
Trio Doppler,1997 October 9,31924119822702,,
"Victoria Paterson, violin, Peter Henderson, piano",1997 October 12,31924119822710,,
Cornell Contemporary Chamber Players,1997 October 26,31924119822728,,
Ensemble X,1997 November 2,31924119822736,,
Cornell Chamber Orchestra,1997 November 15,31924119822744,,
Cornell University Chamber Winds,1997 November 17,31924119822751,,
Cornell Chamber Singers,1997 November 19,31924119822769,,
"Xak Bjerken, piano",1997 November 21,31924119822777,,
Ensemble X,1997 December 7,31924119822785,,
"Heidi Hoffman, cello",1998 January 24,31924119822793,,
El Retablo de Maefe Pedro,1998 February 7,31924119822801,,
Concertino Armonico,1998 February 10,31924119822819,,
Cornell Contemporary Chamber Players,1998 February 14,31924119822827,,
"Steven Lubin, piano",1998 February 15,31924119822835,,
"Judith Kellock, soprano",1998 February 16,31924119822843,,
"Residency: Richard Seraphinoff, natural horn",1998 March 29,31924119822850,,
"Residency: Richard Seraphinoff, natural horn",1998 March 31,31924119822868,,
