id,collection,dc.contributor.author[],dc.date.issued[],dc.description.abstract[],dc.description.audio[],dc.description[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.relation.isformatof[],dc.subject[],dc.title.alternative[],dc.title[],dc.type[]
"44473","1813/42947","Stone, I. F. (Isidor Feinstein), 1907-1989","1974-09-30",,"1_4u35qs4r||1_27fgf4wb","Lecture recorded at Bailey Hall, September 30, 1974.||105 minutes",,"http://hdl.handle.net/1813/43317","en_US","1299035","Nixon, Richard M. (Richard Milhous), 1913-1994--Resignation from office||Ford, Gerald R., 1913-2006||Watergate Affair, 1972-1974||Watergate Affair, 1972-1974 1972 - 1974",,"Has Watergate ruined Ford too?","Sound"
"44085","1813/42947","McCourt, James, 1941-","1984-11-06","McCourt reads from his work in progress, Time Out of Mind.","1_zopqf6s1","Recorded in Ithaca, NY by Cornell University., Sponsored by: Council on the Creative and Performing Arts., Reading, November 6, 1984.||63 minutes",,"http://hdl.handle.net/1813/42948","en_US",,"1900 - 1999",,"James McCourt reads from Time Out of Mind","Sound"
"44086","1813/42947","Chartier, Roger, 1945-","1988-04-06","Einaudi Inaugural Lecture; Chartier, the first recipient of the Einaudi professorship in European and International Studies, discusses the life of Luigi Einaudi and his contributions to Italian intellectual history.","1_ghh9ethl||1_i0dprwp9","Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): First recipient of the Einaudi chair, Professor at L'ecole des etudes anciennes sociales., Lecture, April 6, 1988.||68 minutes",,"http://hdl.handle.net/1813/42949","en_US",,"1900 - 1999","Einaudi lectures.","Luigi Einaudi: between politics and history","Sound"
"44474","1813/42947","Hiss, Alger","1975-03-13",,"1_vb0sgkgy","Recorded March 13, 1975 at Ives Hall.||32 minutes",,"http://hdl.handle.net/1813/43318","en_US","1299685",,,"McCarthyism.","Sound"
"44087","1813/42947","Tate, James, 1943-2015","1988-04-19",,"1_wcctaca5","Recorded in Ithaca, NY by Cornell University., Speaker(s): Author of The Lost Pilot, Absences, and Constant Defender, Professor of English, Amherst College., Reading, April 19, 1988.||40 minutes",,"http://hdl.handle.net/1813/42950","en_US",,"1900 - 1999","Robert Chasen memorial readings.","James Tate reads his poetry","Sound"
"44475","1813/42947","Hoffa, James R. (James Riddle), 1913-","1975-04-08",,"1_ovdbb262","Sponsored by the Cornell Chapter of the National Association for Justice., Recorded at Ives Hall, April 8, 1975.||40 minutes",,"http://hdl.handle.net/1813/43319","en_US","1299748",,,"Prison reform.","Sound"
"44476","1813/42947","Wilson, Robert R., 1914-2000","1977-10-27",,"1_oh93xqwf||1_wqtzxaf2","Recorded in Ithaca, NY by Cornell University., Lecture, October 27, 1977.||60 minutes",,"http://hdl.handle.net/1813/43320","en_US","3604526",,"Bethe lectures.","A Physicist blunders into architecture","Sound"
"44477","1813/42947","Krier, Rob","1978-03-01",,"1_swip20hl||1_12y20uqs","Recorded in Ithaca, NY by Cornell University., Sponsored by: Architecture, Department of., Lecture, March 1, 1978.||85 minutes",,"http://hdl.handle.net/1813/43321","en_US","3602689",,"Preston H. Thomas memorial lectures.","Rationalism: rationalist architecture","Sound"
"44479","1813/42947","Rowe, Colin","1978-05-07",,"1_0y5gvbi9||1_4ccwmtr0","Recorded in Ithaca, NY by Cornell University., Sponsored by: Architecture, Department of., May 7, 1978.",,"http://hdl.handle.net/1813/43323","en_US","3602693",,"Preston H. Thomas memorial lectures.","Colin Rowe on architecture","Sound"
"44481","1813/42947","Goodall, Jane","1978-05-05","Goodall discusses the world of the chimpanzee, focusing in particular on the Gombe chimp. She uses a film and a slide presentation as visual aids in her description of the individual behavior of the animals, their social structure, mating practices, and ability to learn and understand language and sign language.","1_qdefnbvh||1_b3drkr9f||1_ofjjjj0v","Recorded in Ithaca, NY by Cornell University., Sponsored by: Kappa Alpha Theta,Biological Sciences, Division of., Speaker(s): Primate researcher., Lecture, May 5, 1978.",,"http://hdl.handle.net/1813/43325","en_US","3602616","Chimpanzees||Chimpanzees--Behavior||Mammals--Tanzania--Gombe Stream National Park--Behavior","Kappa Alpha Theta lectures.","Social communication in the chimpanzee","Sound"
