AccessionNumber,ID NUMBER,KALTURA ID,dcidentifieruri,Field9
1299035,CUL_Lectures_CU_0268_AM_1_1 | CUL_Lectures_CU_0268_AM_1_2,1_4u35qs4r||1_27fgf4wb,http://hdl.handle.net/1813/43317,
3601096,CUL_Lectures_CU_1813_AM_1_1,1_zopqf6s1,http://hdl.handle.net/1813/42948,
3600547,CUL_Lectures_CU_2733_AM_1_1 | CUL_Lectures_CU_2733_AM_1_2,1_ghh9ethl||1_i0dprwp9,http://hdl.handle.net/1813/42949,
1299685,CUL_Lectures_CU_0333_AM_1_1,1_vb0sgkgy,http://hdl.handle.net/1813/43318,
3600598,CUL_Lectures_CU_2772_AM_1_1,1_wcctaca5,http://hdl.handle.net/1813/42950,
1299748,CUL_Lectures_CU_0338_AM_1_1,1_ovdbb262,http://hdl.handle.net/1813/43319,
3604526,CUL_Lectures_CU_0656_AM_1_1 | CUL_Lectures_CU_0656_AM_1_2,1_oh93xqwf||1_wqtzxaf2,http://hdl.handle.net/1813/43320,
3602689,CUL_Lectures_CU_0685_06_AM_1_1 | CUL_Lectures_CU_0685_06_AM_1_2,1_swip20hl||1_12y20uqs,http://hdl.handle.net/1813/43321,
3602693,CUL_Lectures_CU_0685_10_AM_1_1 | CUL_Lectures_CU_0685_10_AM_1_2,1_0y5gvbi9||1_4ccwmtr0,http://hdl.handle.net/1813/43323,
3602616,CUL_Lectures_CU_0732_AM_1_1 | CUL_Lectures_CU_0732_AM_1_2 | CUL_Lectures_CU_0732_AM_2_1,1_qdefnbvh||1_b3drkr9f||1_ofjjjj0v,http://hdl.handle.net/1813/43325,
3602748,CUL_Lectures_CU_0722_AM_1_1 | CUL_Lectures_CU_0722_AM_1_2,1_xrq0nhk5||1_sd9oj7ey,http://hdl.handle.net/1813/43324,
3602582,CUL_Lectures_CU_0764_AM_1_1,1_xgip1xpn,http://hdl.handle.net/1813/43326,
3602373,CUL_Lectures_CU_0836_AM_1_1 | CUL_Lectures_CU_0836_AM_1_2 | CUL_Lectures_CU_0836_AM_2_1,1_6grk27n4||1_zje9yzew||1_7y2ex1tw,http://hdl.handle.net/1813/43328,
3602691,CUL_Lectures_CU_0685_08_AM_1_1,1_2y47v603,http://hdl.handle.net/1813/43322,
3602617,CUL_Lectures_CU_0789_AM_1_1 | CUL_Lectures_CU_0789_AM_1_2,1_wvd7kjqb||1_c8zvbimh,http://hdl.handle.net/1813/43327,
3602200,CUL_Lectures_CU_0935_AM_2_1 | CUL_Lectures_CU_0935_AM_2_2,1_1hp0db2w||1_nuojhif9,http://hdl.handle.net/1813/43329,
3602318,CUL_Lectures_CU_1002_AM_1_1 | CUL_Lectures_CU_1002_AM_1_2 | CUL_Lectures_CU_1002_AM_2_1,1_6a78qvbj||1_ojt5ba1m||1_z9iy6ywo,http://hdl.handle.net/1813/43330,
3601684,CUL_Lectures_CU_1101_AM_1_1 | CUL_Lectures_CU_1101_AM_1_2,1_oe0gu49r||1_brzmk5iu,http://hdl.handle.net/1813/43332,
3602112,CUL_Lectures_CU_1099_AM_1_1 | CUL_Lectures_CU_1099_AM_1_2,1_8risr7ws||1_7g0vkjto,http://hdl.handle.net/1813/43331,
3601554,CUL_Lectures_CU_1379_AM_1_1,1_lnzsmygb,http://hdl.handle.net/1813/43347,
3601424,CUL_Lectures_CU_1446_AM_1_1 | CUL_Lectures_CU_1446_AM_1_2,1_p74c15fg||1_qhqrmkb4,http://hdl.handle.net/1813/43352,
3601895,CUL_Lectures_CU_1192_AM_1_1 | CUL_Lectures_CU_1192_AM_1_2 | CUL_Lectures_CU_1192_AM_2_1,1_xxp9p609||1_u1y61u2v||1_509o0mut,http://hdl.handle.net/1813/43335,
3601375,CUL_Lectures_CU_1545_AM_1_1 | CUL_Lectures_CU_1545_AM_1_2,1_ziurifhi||1_25nsbavg,http://hdl.handle.net/1813/43361,
3601647,CUL_Lectures_CU_1285_AM_1_1 | CUL_Lectures_CU_1285_AM_1_2,1_7e05icjy||1_eyc1dcnv,http://hdl.handle.net/1813/43340,
3601518,CUL_Lectures_CU_1342_AM_1_1 | CUL_Lectures_CU_1342_AM_1_2,1_q8sw0858||1_e2mfdrtx,http://hdl.handle.net/1813/43344,
3601348,CUL_Lectures_CU_1518_AM_1_1 | CUL_Lectures_CU_1518_AM_1_2,1_29gcq5i4||1_7dqyf9f5,http://hdl.handle.net/1813/43357,
3601373,CUL_Lectures_CU_1543_AM_1_1 | CUL_Lectures_CU_1543_AM_1_2,1_sjymt445||1_vbz46rb4,http://hdl.handle.net/1813/43360,
3601498,CUL_Lectures_CU_1321_AM_1_1 | CUL_Lectures_CU_1321_AM_1_2,1_dog7a0zl||1_43icl39s,http://hdl.handle.net/1813/43342,
3601389,CUL_Lectures_CU_1405_AM_1_1,1_31lp4ile,http://hdl.handle.net/1813/43350,
3601570,CUL_Lectures_CU_1396_AM_1_1 | CUL_Lectures_CU_1396_AM_1_2,1_zux9pzk2||1_qn6vf1f1,http://hdl.handle.net/1813/43349,
3601299,CUL_Lectures_CU_1565_AM_1_1 | CUL_Lectures_CU_1565_AM_1_2,1_5wue027r||1_dsqvwt65,http://hdl.handle.net/1813/43365,
3601360,CUL_Lectures_CU_1530_AM_1_1 | CUL_Lectures_CU_1530_AM_1_2,1_3im3n4lu||1_qu0yotrl,http://hdl.handle.net/1813/43359,
3601455,CUL_Lectures_CU_1477_AM_1_1,1_lvq0wcmk,http://hdl.handle.net/1813/43353,
3601627,CUL_Lectures_CU_1266_AM_1_1 | CUL_Lectures_CU_1266_AM_1_2,1_i3nflxcg||1_vz8wappc,http://hdl.handle.net/1813/43337,
3604586,CUL_Lectures_CU_1619_AM_1_1 | CUL_Lectures_CU_1619_AM_1_2 | CUL_Lectures_CU_1619_AM_2_1,1_hobmxjhm||1_emeks97c||1_d40j6pps,http://hdl.handle.net/1813/43370,
3601632,CUL_Lectures_CU_1271_AM_1_1 | CUL_Lectures_CU_1271_AM_1_2,1_zghx9uzw||1_i1cxh7fl,http://hdl.handle.net/1813/43338,
3601415,CUL_Lectures_CU_1437_AM_1_1 | CUL_Lectures_CU_1437_AM_1_2,1_tc3xqqzy||1_xjuz23tf,http://hdl.handle.net/1813/43351,
3601523,CUL_Lectures_CU_1347_AM_1_1 | CUL_Lectures_CU_1347_AM_1_2,1_5wv3m7hj||1_uzj1sko1,http://hdl.handle.net/1813/43345,
3604576,CUL_Lectures_CU_1350_AM_1_1 | CUL_Lectures_CU_1350_AM_1_2 | CUL_Lectures_CU_1350_AM_2_1,1_0v1u0oy1||1_r1sujbmh||1_kxr9y12b,http://hdl.handle.net/1813/43346,
3601378,CUL_Lectures_CU_1548_AM_1_1 | CUL_Lectures_CU_1548_AM_1_2,1_3vowcfdc||1_t1rideon,http://hdl.handle.net/1813/43362,
3601559,CUL_Lectures_CU_1384_AM_1_1 | CUL_Lectures_CU_1384_AM_1_2,1_29rlrpxh||1_tb5phjdh,http://hdl.handle.net/1813/43348,
3601337,CUL_Lectures_CU_1587_AM_1_1,1_ny1e4pvk,http://hdl.handle.net/1813/43366,
3601310,CUL_Lectures_CU_1615_AM_1_1 | CUL_Lectures_CU_1615_AM_1_2,1_af67tbv8||1_jkebyw1o,http://hdl.handle.net/1813/43369,
3601108,CUL_Lectures_CU_1613_AM_1_1 | CUL_Lectures_CU_1613_AM_1_2,1_vvoedvgl||1_3ch039f5,http://hdl.handle.net/1813/43368,
3601326,CUL_Lectures_CU_1602_AM_1_1 | CUL_Lectures_CU_1602_AM_1_2,1_1p3azy64||1_9pfl9nsh,http://hdl.handle.net/1813/43367,
3601474,CUL_Lectures_CU_1497_AM_1_1 | CUL_Lectures_CU_1497_AM_1_2,1_fxlwn4x1||1_v3apecfc,http://hdl.handle.net/1813/43355,
3601860,CUL_Lectures_CU_1157_AM_1_1 | CUL_Lectures_CU_1157_AM_1_2,1_gnlsrx4e||1_0wx2w868,http://hdl.handle.net/1813/43334,
